Zone,Code zone,Année,Population,Evolution population (%),Dispo. Alim. (Kcal/personne),Dispo. Prot. (g/personne),Prot. Animales/Prot. Totales dispo (%),Cluster,Clusterkm,Croissance annuelle PIB US$ (%),PIB Total US$ (Millions),Nombre de têtes réserves volailles,Moyenne prix conso alim ($/mois),Imports viandes / hbts (kg/personne/an),Imports viande volaille / hbts (kg/personne/an),Import volailles / imports viandes (%),Conso volailles 2017 (kg/hbt/an),Evo conso volailles 2015-2017 (%),Elevage volailles / hbts (kg/personne/an)
Côte d'Ivoire,107,2017,24437470.0,5.215,996450.0,21600.7,23.167,1,0,8.003409,38147.836938,59845000.0,115.77128208333335,2.005117551039449,0.286445364434207,14.285714285714285,2.53,42.938,1.8301403541364962
Jordanie,112,2017,9785843.0,5.604,990610.0,25221.5,34.92,2,0,3.858685,40709.154930000004,29455000.0,110.79800225000002,13.080119924262018,6.540059962131009,50.0,28.07,-0.107,19.66963908985664
Kenya,114,2017,50221142.0,4.893,775260.0,22221.2,25.279,1,0,13.829703,78757.378912,48125000.0,214.8814483333334,0.019911932707543767,5.003144182410275,53.86155269286495,0.67,9.836,0.6048846917897646
Cambodge,115,2017,16009409.0,3.144,902280.0,23871.000000000004,29.297,2,3,10.793178999999999,22177.200589,22303000.0,136.9403305,0.8120224800303372,0.6246326769464132,76.92307692307693,2.34,40.964,1.0962303480409552
République populaire démocratique de Corée,116,2017,25429825.0,0.977,741680.0,19071.25,20.172,2,3,3.446525,17364.724931,22325000.0,149.30127394021127,0.039323904116524595,5.003144182410275,53.86155269286495,1.62,-7.429,1.2238385439144783
Liban,121,2017,6819373.000000001,4.3889999999999985,1051200.0,24703.2,29.994,2,3,4.2052879999999995,53393.799595,72392000.0,121.37352208333333,6.74548818491084,1.9063336174748027,28.26086956521739,10.74,-16.744,18.36869753274971
Lesotho,122,2017,2091534.0,1.579,832930.0,23389.2,19.07,2,3,11.894117,2578.713331,433000.0,165.55273058333333,14.821657214274309,7.171769619810149,48.38709677419355,7.93,-13.991,0.9179865113356991
Libéria,123,2017,4702226.0,5.143,778180.0,14559.85,24.517,1,0,0.232746,2145.368675,9038000.0,186.64512866666666,12.972579369855893,10.207931307427588,78.68852459016394,10.67,-1.204,2.9460515083707164
Madagascar,129,2017,25570512.000000004,5.515,694595.0,15673.1,21.425,1,0,11.205528,13176.313594,48561000.0,161.81651408333335,7.027751617848025,5.003144182410275,53.86155269286495,2.87,3.237,1.8219815074488925
Malawi,130,2017,17670196.0,5.523,966155.0,24827.3,16.848,1,0,19.543959,6347.717479,18345000.0,290.5083984166667,7.027751617848025,5.003144182410275,53.86155269286495,5.17,25.485,7.363472368953915
