Code zone,Zone,Année,Population,Evolution population (%),Dispo. Alim. (Kcal/personne),Dispo. Prot. (g/personne),Prot. Animales/Prot. Totales dispo (%)
119,Lettonie,2017,1951097.0000000002,-2.332,1156685.0,35521.799999999996,57.162
120,République démocratique populaire lao,2017,6953035.0,3.143,1112155.0,30368.0,24.159
121,Liban,2017,6819373.000000001,4.389,1051200.0,24703.2,29.994
122,Lesotho,2017,2091534.0,1.579,832930.0,23389.2,19.07
123,Libéria,2017,4702226.0,5.143,778180.0,14559.85,24.517
126,Lituanie,2017,2845414.0,-2.949,1247935.0,45690.700000000004,61.527
128,Chine - RAS de Macao,2017,622585.0,3.405,1095730.0,36667.899999999994,66.773
129,Madagascar,2017,25570512.000000004,5.515,694595.0,15673.099999999999,21.425
130,Malawi,2017,17670196.0,5.523,966155.0,24827.3,16.848
131,Malaisie,2017,31104646.0,2.754,1061785.0,28802.149999999998,54.746
132,Maldives,2017,496402.0,9.12,821980.0,29827.8,60.083
133,Mali,2017,18512430.0,6.157,1067990.0,30992.149999999998,27.311
134,Malte,2017,437933.00000000006,1.009,1262900.0,42467.75,57.55
136,Mauritanie,2017,4282570.0,5.839,1037330.0,29134.3,36.883
137,Maurice,2017,1264499.0,0.4,1141355.0,32324.4,43.699
138,Mexique,2017,124777324.00000001,2.395,1189900.0,34091.0,46.884
141,Mongolie,2017,3113785.9999999995,3.847,865415.0,30072.35,68.139
143,Maroc,2017,35581255.0,2.647,1233700.0,35795.549999999996,27.98
144,Mozambique,2017,28649017.999999996,5.943,840960.0,18691.65,17.555
146,République de Moldova,2017,4059684.0,-0.271,874175.0,23126.4,48.627
147,Namibie,2017,2402633.0,3.79,887315.0,22692.05,36.625
149,Népal,2017,27632681.0,2.286,1046090.0,26900.5,17.178
150,Pays-Bas,2017,17021346.999999996,0.489,1185885.0,38186.3,65.418
153,Nouvelle-Calédonie,2017,277150.0,2.245,1004480.0,30211.05,58.354
154,Macédoine du Nord,2017,2081996.0,0.128,1095000.0,29448.2,40.816
155,Vanuatu,2017,285510.0,5.304,957395.0,23261.449999999997,39.746
156,Nouvelle-Zélande,2017,4702034.000000001,1.896,1151940.0,33196.75,57.086
157,Nicaragua,2017,6384846.0,2.597,959585.0,24144.750000000004,33.333
158,Niger,2017,21602382.0,8.003,941335.0,29889.85,15.24
159,Nigéria,2017,190873243.99999997,5.375,899360.0,20410.8,12.75
162,Norvège,2017,5296326.0,1.856,1235525.0,40208.4,58.56
165,Pakistan,2017,207906208.99999997,4.252,848990.0,24181.25,42.053
166,Panama,2017,4106769.0,3.485,1036235.0,29010.2,53.095
167,Tchéquie,2017,10641034.0,0.374,1195740.0,31565.2,61.482
169,Paraguay,2017,6867061.0,2.666,1000100.0,26287.3,46.709
170,Pérou,2017,31444298.0,3.195,1010685.0,28623.3,37.643
171,Philippines,2017,105172925.0,2.996,976010.0,22878.2,41.018
173,Pologne,2017,37953180.0,-0.213,1286625.0,37624.2,53.764
174,Portugal,2017,10288527.0,-0.77,1274580.0,41788.85,63.516
175,Guinée-Bissau,2017,1828145.0,5.235,822345.0,16114.75,21.133
176,Timor-Leste,2017,1243258.0,3.925,781100.0,21071.449999999997,27.126
181,Zimbabwe,2017,14236595.0,3.054,793145.0,18691.65,22.691
183,Roumanie,2017,19653968.999999996,-1.361,1286625.0,38956.450000000004,48.965
184,Rwanda,2017,11980961.000000002,5.382,808475.0,21622.600000000002,14.77
185,Fédération de Russie,2017,145530082.0,0.376,1227130.0,37178.9,54.781
188,Saint-Kitts-et-Nevis,2017,52045.0,1.644,917975.0,28094.05,64.038
189,Sainte-Lucie,2017,180954.0,1.021,971265.0,31554.25,60.382
191,Saint-Vincent-et-les Grenadines,2017,109827.00000000001,0.622,1080400.0,32638.3,54.216
193,Sao Tomé-et-Principe,2017,207089.00000000003,3.839,882570.0,18998.25,30.413
194,Arabie saoudite,2017,33101178.999999996,4.362,1165810.0,31952.100000000002,42.278
195,Sénégal,2017,15419355.0,5.768,953380.0,22126.3,21.462
