Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","12","Bahamas","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","1.775782","Fc","Donnée calculée",""
"MK","Indicateurs macro","13","Bahreïn","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","35432.666386","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","13","Bahreïn","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","9.807919","Fc","Donnée calculée",""
"MK","Indicateurs macro","16","Bangladesh","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","245633.488923","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","16","Bangladesh","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","11.491529","Fc","Donnée calculée",""
"MK","Indicateurs macro","14","Barbade","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","4978.153889","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","14","Barbade","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","3.067211","Fc","Donnée calculée",""
"MK","Indicateurs macro","57","Bélarus","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","54725.418814","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","57","Bélarus","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","14.671728","Fc","Donnée calculée",""
"MK","Indicateurs macro","255","Belgique","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","504250.025367","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","255","Belgique","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","5.922232","Fc","Donnée calculée",""
"MK","Indicateurs macro","23","Belize","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","1836.593466","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","23","Belize","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","3.464215","Fc","Donnée calculée",""
"MK","Indicateurs macro","53","Bénin","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","9269.331673","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","53","Bénin","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","8.045987","Fc","Donnée calculée",""
"MK","Indicateurs macro","17","Bermudes","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","6269.384044","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","17","Bermudes","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","2.892684","Fc","Donnée calculée",""
"MK","Indicateurs macro","18","Bhoutan","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","2528.009185","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","18","Bhoutan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","13.890729","Fc","Donnée calculée",""
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","37508.683068","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","10.511101","Fc","Donnée calculée",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","18080.610875","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","6.903897","Fc","Donnée calculée",""
"MK","Indicateurs macro","20","Botswana","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","17405.50354","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","20","Botswana","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","11.242991","Fc","Donnée calculée",""
"MK","Indicateurs macro","21","Brésil","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","2053601.668106","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","21","Brésil","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","14.401349","Fc","Donnée calculée",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","12128.166606","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","26","Brunéi Darussalam","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","6.384936","Fc","Donnée calculée",""
"MK","Indicateurs macro","27","Bulgarie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","58951.51617","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","27","Bulgarie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","9.608313","Fc","Donnée calculée",""
"MK","Indicateurs macro","233","Burkina Faso","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","14169.989423","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","233","Burkina Faso","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","10.508578","Fc","Donnée calculée",""
"MK","Indicateurs macro","29","Burundi","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","3217.01681","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","29","Burundi","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","9.792447","Fc","Donnée calculée",""
"MK","Indicateurs macro","35","Cabo Verde","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","1769.786532","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","35","Cabo Verde","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","6.420607","Fc","Donnée calculée",""
"MK","Indicateurs macro","115","Cambodge","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","22177.200589","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","115","Cambodge","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","10.793179","Fc","Donnée calculée",""
"MK","Indicateurs macro","32","Cameroun","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","35009.259798","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","32","Cameroun","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","7.246826","Fc","Donnée calculée",""
"MK","Indicateurs macro","33","Canada","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","1650187.053777","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","33","Canada","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","7.836136","Fc","Donnée calculée",""
"MK","Indicateurs macro","40","Chili","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","277746.461078","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","40","Chili","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","10.947756","Fc","Donnée calculée",""
